"id","name","state","country","coord"
1222396,"Kuah","","MY","{\"lon\":99.843201,\"lat\":6.32649}"
1732602,"Jerantut","","MY","{\"lon\":102.362602,\"lat\":3.936}"
1732637,"Maran","","MY","{\"lon\":102.773003,\"lat\":3.586}"
1732663,"Raub","","MY","{\"lon\":101.857002,\"lat\":3.7899}"
1732687,"Batu Pahat","","MY","{\"lon\":102.932503,\"lat\":1.8548}"
1732698,"Parit Raja","","MY","{\"lon\":103.112396,\"lat\":1.8681}"
1732706,"Pekan Nenas","","MY","{\"lon\":103.514099,\"lat\":1.51}"
1732711,"Pontian Kechil","","MY","{\"lon\":103.389603,\"lat\":1.4866}"
1732721,"Kampung Pasir Gudang Baru","","MY","{\"lon\":103.877998,\"lat\":1.4726}"
1732738,"Kota Tinggi","","MY","{\"lon\":103.899902,\"lat\":1.7381}"
1732740,"Kampung Seelong","","MY","{\"lon\":103.695702,\"lat\":1.63}"
1732741,"Taman Senai","","MY","{\"lon\":103.641899,\"lat\":1.6006}"
1732742,"Kulai","","MY","{\"lon\":103.603203,\"lat\":1.6561}"
1732745,"Skudai","","MY","{\"lon\":103.666672,\"lat\":1.53333}"
1732752,"Johor Bahru","","MY","{\"lon\":103.757797,\"lat\":1.4655}"
1732811,"Kluang","","MY","{\"lon\":103.332802,\"lat\":2.0251}"
1732814,"Yong Peng","","MY","{\"lon\":103.065903,\"lat\":2.0136}"
1732826,"Mersing","","MY","{\"lon\":103.8405,\"lat\":2.4312}"
1732846,"Segamat","","MY","{\"lon\":102.815804,\"lat\":2.5148}"
1732857,"Tangkak","","MY","{\"lon\":102.545303,\"lat\":2.2673}"
1732869,"Muar","","MY","{\"lon\":102.568901,\"lat\":2.0442}"
1732871,"Bakri","","MY","{\"lon\":102.652702,\"lat\":2.0441}"
1732877,"Labis","","MY","{\"lon\":103.021004,\"lat\":2.385}"
1732884,"Chaah","","MY","{\"lon\":103.047997,\"lat\":2.249}"
1732891,"Kuala Selangor","","MY","{\"lon\":101.25,\"lat\":3.35}"
1732892,"Batang Berjuntai","","MY","{\"lon\":101.416672,\"lat\":3.38333}"
1732893,"Batu Arang","","MY","{\"lon\":101.466667,\"lat\":3.31667}"
1732903,"Shah Alam","","MY","{\"lon\":101.532806,\"lat\":3.08507}"
1732905,"Klang","","MY","{\"lon\":101.449997,\"lat\":3.03333}"
1732945,"Cukai","","MY","{\"lon\":103.416672,\"lat\":4.25}"
1733023,"Kuala Lipis","","MY","{\"lon\":102.046799,\"lat\":4.1842}"
1733035,"Melaka","","MY","{\"lon\":102.25,\"lat\":2.25}"
1733036,"Terengganu","","MY","{\"lon\":103,\"lat\":5}"
1733037,"Selangor","","MY","{\"lon\":101.5,\"lat\":3.16667}"
1733038,"Sarawak","","MY","{\"lon\":113.5,\"lat\":2.5}"
1733039,"Sabah","","MY","{\"lon\":117,\"lat\":5.5}"
1733040,"Perlis","","MY","{\"lon\":100.25,\"lat\":6.5}"
1733041,"Perak","","MY","{\"lon\":101,\"lat\":5}"
1733042,"Pahang","","MY","{\"lon\":102.75,\"lat\":3.5}"
1733043,"Negeri Sembilan","","MY","{\"lon\":102.166672,\"lat\":2.75}"
1733044,"Kelantan","","MY","{\"lon\":102,\"lat\":5.33333}"
1733045,"Malaysia","","MY","{\"lon\":112.5,\"lat\":2.5}"
1733046,"Kuala Lumpur","","MY","{\"lon\":101.686531,\"lat\":3.14309}"
1733047,"Pulau Pinang","","MY","{\"lon\":100.258476,\"lat\":5.37677}"
1733048,"Kedah","","MY","{\"lon\":100.666672,\"lat\":6}"
1733049,"Johor","","MY","{\"lon\":103.5,\"lat\":2}"
